ID,Category,Frage,Antwort1,Antwort2,Antwort3,Antwort4,Answer5,Answer6,Answer7,Answer8,Answer9,Answer10,RichtigeAnt1,CorrectAns2,CorrectAns3
451,PRODUCTION & DELIVERY,Was ist eine offizielle OE-Reklamation?,Reklamation aus Reifenmontage,Reklamation von Erstausrüster,Reklamation von Reifenbenutzer,Reklamation vom Einzelhändler,NIL,NIL,NIL,NIL,NIL,NIL,Reklamation von Erstausrüster,NIL,NIL
452,PRODUCTION & DELIVERY,Wofür steht „RPN“?,Risikoprämie,Risk Priority Number,Repeat Problem Number,Reduce Problem Number,NIL,NIL,NIL,NIL,NIL,NIL,Risk Priority Number,NIL,NIL
453,PRODUCTION & DELIVERY,Wofür steht „CCC“?,OE-Kundenanforderungen,China Compulsory Certification (CCC),Chinesische Kundenanforderungen,Konsolen-Steuerkreise,NIL,NIL,NIL,NIL,NIL,NIL,China Compulsory Certification (CCC),NIL,NIL
454,PRODUCTION & DELIVERY,Was ist CPK?,Combined Public Key,Control Plan ,Complex Process Capability Index,Continues Problem Solving,NIL,NIL,NIL,NIL,NIL,NIL,Complex Process Capability Index,NIL,NIL
455,PRODUCTION & DELIVERY,Was ist der Maschinen-Cmk?,Verbraucher- und Marktkenntnis,Fähigkeit der Maschinenkenntnis,Maschinenfähigkeitsindex,Combined Public Key,NIL,NIL,NIL,NIL,NIL,NIL,Maschinenfähigkeitsindex,NIL,NIL
456,PRODUCTION & DELIVERY,Mit welchem CBS-Tool wird Prävention erreicht?,Visual Management,Problemlösung,Poka-Yoke,Standardarbeit,NIL,NIL,NIL,NIL,NIL,NIL,Poka-Yoke,NIL,NIL
457,PRODUCTION & DELIVERY,"Welchen Einfluss haben nichtkonforme Produkte, die an Kunden gehen?",Kundenreklamation,Sicherheitsrisiko,Verlust des Kunden,Alles möglich,NIL,NIL,NIL,NIL,NIL,NIL,Alles möglich,NIL,NIL
458,PRODUCTION & DELIVERY,Wie lautet die normale OEM-Anforderung an Ppk in der PPAP-Phase?,">1,67",Jan 33,">1,33",Jan 67,NIL,NIL,NIL,NIL,NIL,NIL,">1,67",NIL,NIL
459,PRODUCTION & DELIVERY,Was ist KEINE KPI zur Messung der Lieferleistung?,Interne Lieferfehler,Externe Lieferfehler,Qualitätsfehler,Altreifen,NIL,NIL,NIL,NIL,NIL,NIL,Altreifen,NIL,NIL
460,PRODUCTION & DELIVERY,Wann müssen wir Erstteilprüfung oder Erstartikelprüfung durchführen?,Bei jeder Schichtprozessänderung,Materialänderung,Bestückungsänderung,Alle,NIL,NIL,NIL,NIL,NIL,NIL,Alle,NIL,NIL
461,PRODUCTION & DELIVERY,Was ist WDK?,Widget Development Kit ,Windows Driver Kit,Web Development Kit,Deutscher Gummiherstellerverband,NIL,NIL,NIL,NIL,NIL,NIL,Deutscher Gummiherstellerverband,NIL,NIL
462,PRODUCTION & DELIVERY,"Welche Art von Maßnahmen sind gut, wenn ein Bediener/Betreiber nichtkonforme Produkte feststellt?",Berichterstattung an den Vorgesetzten,Aussonderung der nichtkonformen Produkte,Kennzeichnung der nichtkonformen Produkte,Alle,NIL,NIL,NIL,NIL,NIL,NIL,Alle,NIL,NIL
463,PRODUCTION & DELIVERY,Was ist SFI?,Ideen im Fertigungsbereich,Verkauf neuer Ideen ,Integration im Fertigungsbereich,Sequentielle Einspritzung,NIL,NIL,NIL,NIL,NIL,NIL,Integration im Fertigungsbereich,NIL,NIL
464,PRODUCTION & DELIVERY,Was ist MVTS?,Material Traceability System,Material Validation & Traceability Solution,Motion and Transportation Solution,Manufacturing Verification System,NIL,NIL,NIL,NIL,NIL,NIL,Material Validation & Traceability Solution,NIL,NIL
465,PRODUCTION & DELIVERY,Was ist DOT?,Damage Over Time ,US Department of Transportation,DO it,Datum des Reifenbaus,NIL,NIL,NIL,NIL,NIL,NIL,US Department of Transportation,NIL,NIL
466,PRODUCTION & DELIVERY,"Wenn ich einen Reifen vom Markt gekauft habe, wie kann ich seine Verfolgbarkeit prüfen?",Barcode,Arbeitswoche,Werk,DOT,NIL,NIL,NIL,NIL,NIL,NIL,Barcode,NIL,NIL
467,PRODUCTION & DELIVERY,Die Haltbarkeit vpn Textilbewehrungsmaterial ist____,1 Monat,6 Monate,2 Jahre,10 Jahre,NIL,NIL,NIL,NIL,NIL,NIL,6 Monate,NIL,NIL
468,PRODUCTION & DELIVERY,Was ist QSB?,Grundlagen des Qualitätssystems,Grundlagen des Qualitätslieferanten,Grundlagen des Angebotssystems,Grundlagen qualifizierter Lieferanten,NIL,NIL,NIL,NIL,NIL,NIL,Grundlagen des Qualitätssystems,NIL,NIL
469,PRODUCTION & DELIVERY,Was ist der Hauptkontrollpunkt bei Kalandrierungsprodukten?,Stärke,Gewicht,Dichte,Alle,NIL,NIL,NIL,NIL,NIL,NIL,Alle,NIL,NIL
470,PRODUCTION & DELIVERY,Welches Kriterium gehört nicht zu QSB?,Schnelle Reaktion,MMOG,Management von Veränderungen,Layered Process Audits,NIL,NIL,NIL,NIL,NIL,NIL,MMOG,NIL,NIL
471,PRODUCTION & DELIVERY,LPA ist,eine Liste von Problemen und Maßnahmen,Verbindung Packbereich ,Lean Production Audit,Layered Process Audits,NIL,NIL,NIL,NIL,NIL,NIL,Layered Process Audits,NIL,NIL
472,PRODUCTION & DELIVERY,Was ist ein CAT-Tool?,OE Complaint Administration Tracking,Continental Administrationstool,Reklamationsanalysetool,Kundenadministrationstool,NIL,NIL,NIL,NIL,NIL,NIL,OE Complaint Administration Tracking,NIL,NIL
473,PRODUCTION & DELIVERY,Was beeinflusst die OEE?,Ausfallzeitverlust,Geschwindigkeitsverlust,Qualitätsverlust,Alle,NIL,NIL,NIL,NIL,NIL,NIL,Alle,NIL,NIL
474,PRODUCTION & DELIVERY,Wofür steht „OEE“?,Official Equipment Efficiency,Overall Equipment Effectiveness,Office of Experiential Education,Overall Experiential Education,NIL,NIL,NIL,NIL,NIL,NIL,Overall Equipment Effectiveness,NIL,NIL
475,PRODUCTION & DELIVERY,Was gehört nicht zu den 5S?,Standardisieren,Aussortieren,Glänzen,Zeitplan,NIL,NIL,NIL,NIL,NIL,NIL,Zeitplan,NIL,NIL
476,PRODUCTION & DELIVERY,Was ähnelt GP12?,Sichere Produkteinführung,Grading,Prüfung visueller Aspekte,Eingangsprüfung,NIL,NIL,NIL,NIL,NIL,NIL,Sichere Produkteinführung,NIL,NIL
477,PRODUCTION & DELIVERY,Wie wird das Verfahren GP12 beendet?,Von Qualitätsmanager genehmigt,Von QM-Zentrale genehmigt,Von Werksleiter genehmigt,Von OE-Kunde genehmigt,NIL,NIL,NIL,NIL,NIL,NIL,Von OE-Kunde genehmigt,NIL,NIL
478,PRODUCTION & DELIVERY,Was ist QDA?,Qualitative Data Analysis,Qualitätsdatenauswertung,Quality Deviation Analysis,Quality Database Authority,NIL,NIL,NIL,NIL,NIL,NIL,Qualitätsdatenauswertung,NIL,NIL
479,PRODUCTION & DELIVERY,„Jidoka“ ist:,Asiatisches Softwaresystem,Intelligente Automation,Niederlassung von Continental in Asien,Kampftechnik,NIL,NIL,NIL,NIL,NIL,NIL,Intelligente Automation,NIL,NIL
480,PRODUCTION & DELIVERY,JIT ist,Job Instruction Training,Just-in-time,Just in Tolerance,Just Do it,NIL,NIL,NIL,NIL,NIL,NIL,Just-in-time,NIL,NIL
481,PRODUCTION & DELIVERY,Was ist die KPI zur Messung der Lieferleistung?,Altreifen VI,Termingerechte Lieferung,OE-Lagerausbeute,Rechtzeitiger Produktionsbeginn,NIL,NIL,NIL,NIL,NIL,NIL,Termingerechte Lieferung,NIL,NIL
482,PRODUCTION & DELIVERY,Welche KPI ist zur Messung der Lagerungs-/Lieferleistung definiert?,Überaltete Reifen,Qualitätsfehler (intern und extern),Schäden/Verformung/Verschmutzung,Alle,NIL,NIL,NIL,NIL,NIL,NIL,Alle,NIL,NIL
483,PRODUCTION & DELIVERY,Welche Altreifen gehören zu Altreifen I?,Mischung,Komponenten nach Gummierung,Karkasse und Green Tires,Vulkanisierte Reifen,NIL,NIL,NIL,NIL,NIL,NIL,Mischung,NIL,NIL
484,PRODUCTION & DELIVERY,Welche Altreifen gehören zu Altreifen II?,Mischung,Komponenten nach Gummierung,Karkasse und Green Tires,Vulkanisierte Reifen,NIL,NIL,NIL,NIL,NIL,NIL,Komponenten nach Gummierung,NIL,NIL
485,PRODUCTION & DELIVERY,Welche Altreifen gehören zu Altreifen III?,Mischung,Komponenten nach Gummierung,Karkasse und Green Tires,Vulkanisierte Reifen,NIL,NIL,NIL,NIL,NIL,NIL,Karkasse und Green Tires,NIL,NIL
486,PRODUCTION & DELIVERY,Welche Altreifen gehören zu Altreifen IV?,Mischung,Komponenten nach Gummierung,Karkasse und Green Tires,Vulkanisierte Reifen,NIL,NIL,NIL,NIL,NIL,NIL,Vulkanisierte Reifen,NIL,NIL
487,PRODUCTION & DELIVERY,Was ist der Hauptqualitätskontrollpunkt bei Lauffläche und Seitenwand?,Breite,Stärke,Mischung Schnittstelle Abmessung,Alle,NIL,NIL,NIL,NIL,NIL,NIL,Alle,NIL,NIL
488,PRODUCTION & DELIVERY,Wie lautet der Name des Produktfreigabeprozesses bei Reifen?,RN,AP,TT,TA,NIL,NIL,NIL,NIL,NIL,NIL,RN,NIL,NIL
489,PRODUCTION & DELIVERY,Was ist ein Beispiel für ein Jidoka-Stop-Limit im Werk?,90 % OEE,3 aufeinander folgende Defekte innerhalb von 2 Stunden,5% Ausschussrate,96% FPY,NIL,NIL,NIL,NIL,NIL,NIL,3 aufeinander folgende Defekte innerhalb von 2 Stunden,NIL,NIL
490,PRODUCTION & DELIVERY,Welche Funktion ist u. U. nicht im Jidoka-Team eingeschlossen?,Produktion,Qualität,Industrial Engineering,Finanzen,NIL,NIL,NIL,NIL,NIL,NIL,Finanzen,NIL,NIL
491,PRODUCTION & DELIVERY,Was bedeutet MSA?,"Messen, sichern, aktivieren",Fertigungssystemanalyse,Mittlerer statistischer Durchschnitt,Messsystemanalyse,NIL,NIL,NIL,NIL,NIL,NIL,Messsystemanalyse,NIL,NIL
492,PRODUCTION & DELIVERY,Was ist ein KPI-Dashboard?,Ein Post von QM,Eine Tabelle aus Industrial Engineering,Ein Überblick über alle Leistungskennzahlen,Key Product Indicator,NIL,NIL,NIL,NIL,NIL,NIL,Ein Überblick über alle Leistungskennzahlen,NIL,NIL
493,PRODUCTION & DELIVERY,Wie ist ein Prozess definiert?,"Aktivität mit In- und Output, Lieferant, Kunde",Aktivität innerhalb einer Abteilung,Abteilung ist dasselbe wie ein Prozess,Prozess ist mehr als eine Abteilung,NIL,NIL,NIL,NIL,NIL,NIL,"Aktivität mit In- und Output, Lieferant, Kunde",NIL,NIL
494,PRODUCTION & DELIVERY,Was ist fifo?,Fill in fill out,First in for ordering,First In First Out,Sichere Prozesslenkung,NIL,NIL,NIL,NIL,NIL,NIL,First In First Out,NIL,NIL
495,PRODUCTION & DELIVERY,Was ist filo?,First loop,First In Last Out,Final loop,Eine Intranet-Seite,NIL,NIL,NIL,NIL,NIL,NIL,First In Last Out,NIL,NIL
496,PRODUCTION & DELIVERY,Was ist PI?,Prozessindikator,Produktionsindikator,Prozessverbesserung,Prozessinvestition,NIL,NIL,NIL,NIL,NIL,NIL,Prozessindikator,NIL,NIL
497,PRODUCTION & DELIVERY,Wer ist für die KPI verantwortlich?,Hauptabteilungsleiter,Prozesseigner,Jeder,Gruppenleiter,NIL,NIL,NIL,NIL,NIL,NIL,Prozesseigner,NIL,NIL
498,PRODUCTION & DELIVERY,Was ist das JIDOKA-Ziel?,Weniger Qualitätsvorfälle ,Eine schlanke Struktur und Umgebung einrichten,Standardize Work (Arbeit standardisieren),Kosten reduzieren und Unternehmensziele erreichen,NIL,NIL,NIL,NIL,NIL,NIL,Weniger Qualitätsvorfälle ,NIL,NIL
499,PRODUCTION & DELIVERY,Wer ist für die Umsetzung und Nachhaltigkeit von JIDOKA im Werk verantwortlich?,Zentrale IE,Produktionsteam ,Leiter des Werksqualitätsmanagements,New Product Launch Manager,NIL,NIL,NIL,NIL,NIL,NIL,Leiter des Werksqualitätsmanagements,NIL,NIL
500,PRODUCTION & DELIVERY,Was gehört nicht zu den 6 wichtigsten Schritten in JIDOKA?,Erkennen einer Abweichung,Anhalten des Prozesses,Vergleich mit dem Limit,Lean-Dialog aufnehmen,NIL,NIL,NIL,NIL,NIL,NIL,Lean-Dialog aufnehmen,NIL,NIL
501,PRODUCTION & DELIVERY,Welches Unternehmen hat das „Jidoka“-Tool erfunden?,Das amerikanische GM,Japan Toyota,Das deutsche VW,Das chinesische Chery,NIL,NIL,NIL,NIL,NIL,NIL,Japan Toyota,NIL,NIL
502,PRODUCTION & DELIVERY,Was ist die richtige Abfolge des Jidoka-Prozessablaufs?,Den Prozess beobachten? Eine Abweichung feststellen? Mit Grenzwert vergleichen? Den Prozess anhalten? Die Abweichung korrigieren? Den Prozess neu starten?,Den Prozess beobachten? Mit Grenzwert vergleichen? Eine Abweichung feststellen? Den Prozess anhalten? Die Abweichung korrigieren? Den Prozess neu starten?,Den Prozess beobachten? Eine Abweichung feststellen? Mit Grenzwert vergleichen? Den Prozess anhalten? Den Prozess neu starten? Die Abweichung korrigieren?,Mit dem Grenzwert vergleichen? Eine Abweichung feststellen? Den Prozess beobachten? Den Prozess anhalten? Die Abweichung korrigieren? Den Prozess neu starten?,NIL,NIL,NIL,NIL,NIL,NIL,Den Prozess beobachten? Eine Abweichung feststellen? Mit Grenzwert vergleichen? Den Prozess anhalten? Die Abweichung korrigieren? Den Prozess neu starten?,NIL,NIL
503,PRODUCTION & DELIVERY,Was gehört nicht zu den Verantwortlichkeiten eines Jidoka-Managers?,Statusprüfung mit „Implementierungsprüfung“,Training aller Teammitglieder,Ständige Verbesserung der Jidoka-Ausführung,Austausch über Fahrerlebnis,NIL,NIL,NIL,NIL,NIL,NIL,Austausch über Fahrerlebnis,NIL,NIL
504,PRODUCTION & DELIVERY,"Welchen Zweck hat es, ein „Jidoka-Limit“ zu setzen?",Reduzierung der Maschinenausfallzeit,Einsparen von Produktionszeit,damit sich das Produktionsteam auf das Problem fokussiert,Reduzierung der Nichtkonformitätskosten im Werk,NIL,NIL,NIL,NIL,NIL,NIL,damit sich das Produktionsteam auf das Problem fokussiert,NIL,NIL
505,PRODUCTION & DELIVERY,Was ist die richtige Reaktion auf einen „Jidoka-Alarm“?,Produktion anhalten; Jidoka-Team übernimmt Problemlösung.,Sofort die Werksleitung informieren,Alarm ausschalten und Produktion fortsetzen,Meeting zur Diskussion ansetzen und Produktion beibehalten,NIL,NIL,NIL,NIL,NIL,NIL,Produktion anhalten; Jidoka-Team übernimmt Problemlösung.,NIL,NIL
506,PRODUCTION & DELIVERY,Was ist kein Vorteil der Implementierung von Jidoka?,Produktion weiterer fehlerhafter Teile vermeiden,Ursache eines Problems beseitigen und Problem lösen,Bandleistung verbessern,Arbeitskraft sparen,NIL,NIL,NIL,NIL,NIL,NIL,Arbeitskraft sparen,NIL,NIL
507,PRODUCTION & DELIVERY,Was wird bei der Implementierung von Jidoka nicht empfohlen?,Jidoka-Team reagiert rasch auf das Problem.,"Aktion definieren, nachdem FPY außer Kontrolle ist",Verdächtige Teile sollten sofort analysiert werden,Unterstützung des Managements,NIL,NIL,NIL,NIL,NIL,NIL,"Aktion definieren, nachdem FPY außer Kontrolle ist",NIL,NIL
508,PRODUCTION & DELIVERY,Welcher Zusammenhang besteht zwischen Jidoka und Andon?,Es ist dasselbe ,Es gibt keinen Zusammenhang,Andon ist ein visualisiertes Tool zur Implementierung von Jidoka,Andon kann die Implementierung von Jidoka nicht unterstützen.,NIL,NIL,NIL,NIL,NIL,NIL,Andon ist ein visualisiertes Tool zur Implementierung von Jidoka,NIL,NIL
509,PRODUCTION & DELIVERY,Welche Farbe kann nicht zur Visualisierung von Grenzwerten in der Teilebox mit Abweichungen verwendet werden?,Gelb,Orange,Grün,Rot,NIL,NIL,NIL,NIL,NIL,NIL,Grün,NIL,NIL
510,PRODUCTION & DELIVERY,"Oberhalb welchen Werts wird Jidoka am Band implementiert, wenn wir die Jidoka-Implementierungsprüfung durchführen?","0,8","0,9","0,95","0,75",NIL,NIL,NIL,NIL,NIL,NIL,"0,9",NIL,NIL
511,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Wie nennt man die internationalen Normen zu Qualitätsmanagement und Qualitätssicherung?,ISO 9001,IFRS,IAS,PPAP ,NIL,NIL,NIL,NIL,NIL,NIL,ISO 9001,NIL,NIL
512,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Die ISO 9001 helfen Unternehmen ...,Haushaltsvorgaben einzuhalten,beim Rekrutierungsprozess,Ein effizientes Qualitätssystem unterhalten,„Kanban“ zu implementieren,NIL,NIL,NIL,NIL,NIL,NIL,Ein effizientes Qualitätssystem unterhalten,NIL,NIL
513,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Die internationalen Normen zu Qualitätsmanagement und Qualitätssicherung (ISO 9001) sind spezifisch für:,Fertigungsindustrie,Dienstleistungssektor,"Landwirtschaft, Bergbau, Forstwirtschaft",Lässt sich auf jede Branche anwenden,NIL,NIL,NIL,NIL,NIL,NIL,Lässt sich auf jede Branche anwenden,NIL,NIL
514,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Die ISO 9001 beruhen auf:,5S,8 Grundsätze des Qualitätsmanagements,Deming Cycle,7 Arten von Verschwendung,NIL,NIL,NIL,NIL,NIL,NIL,8 Grundsätze des Qualitätsmanagements,NIL,NIL
515,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Der Begriff „AOI“ steht für:,Automatische optische Illusion,Art Of Internet,Automatische organisierte Intelligenz,Automatische optische Inspektion ,NIL,NIL,NIL,NIL,NIL,NIL,Automatische optische Inspektion ,NIL,NIL
516,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Was bedeutet PLC?,Product Launch Cost (Produkteinführungskosten),Project Line Cycle (Projektlinienzyklus),Program Labour Cost (Programmarbeitskosten),Produktlebenszyklus,NIL,NIL,NIL,NIL,NIL,NIL,---,NIL,NIL
517,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Eine detaillierte Schritt-für-Schritt-Beschreibung der üblichen Unternehmensmethode zur Abwicklung von Tätigkeiten ist:,eine Politik ,ein Verfahren,eine Regel,Vision,NIL,NIL,NIL,NIL,NIL,NIL,ein Verfahren,NIL,NIL
518,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Die Gesamtzeit von Anfang bis Ende eines Prozesses heißt:,Prozesszeit,Verzögerungszeit,Zykluszeit,Vorlaufzeit,NIL,NIL,NIL,NIL,NIL,NIL,Zykluszeit,NIL,NIL
519,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Welche Art von Tests bestätigt die Funktionalität eines Systems auf der Basis von Input und Output ohne Berücksichtigung seiner internen Logik?,Komponententests,Strukturelle Tests,Black-Box-Tests,Leistungstests,NIL,NIL,NIL,NIL,NIL,NIL,Black-Box-Tests,NIL,NIL
520,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Auf welcher Art von Ansatz beruht der Rahmen für die Scrum Softwareentwicklung?,Wasserfall,Programmierung und Fehlerbehebung,Extreme Programming,Inkrementell und iterativ,NIL,NIL,NIL,NIL,NIL,NIL,---,NIL,NIL
521,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Welcher Art von Ansatz kommt bei der testgetriebenen Entwicklung zur Anwendung?,"Erst einen Test entwickeln, dann implementieren",Zwei Testzeilen für eine Codezeile,Assertion-Tests für Input/Outputs,Umfassender White-Box-Test nach der Implementierung,NIL,NIL,NIL,NIL,NIL,NIL,"Erst einen Test entwickeln, dann implementieren",NIL,NIL
522,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Was wird bei einem White-Box-Test untersucht?,Das Ergebnis einer leeren Input-Box,Die interne Struktur eines Systems,Eine Null-Zeiger-Ausnahme,Eine Komponente von GUI,NIL,NIL,NIL,NIL,NIL,NIL,Die interne Struktur eines Systems,NIL,NIL
523,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Was ist kein Dokumentationstyp bei üblichen Softwareprojekten?,Technische Dokumentation,Benutzerdokumentation,Anforderungsdokumentation,Risikodokumentation,NIL,NIL,NIL,NIL,NIL,NIL,Risikodokumentation,NIL,NIL
524,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"Was ist eine iterative, nachfragende Methode zur Untersuchung der Ursache-Wirkung-Beziehung, die einem Problem zugrunde liegt?",3How,5Why,Deming Cycle,4W2H,NIL,NIL,NIL,NIL,NIL,NIL,5Why,NIL,NIL
525,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Wie wird das Fischgrätendiagramm auch genannt?,Kanban,8D-Bericht,Wasserfall-Diagramm,Ursache-Wirkung-Diagramm,NIL,NIL,NIL,NIL,NIL,NIL,Ursache-Wirkung-Diagramm,NIL,NIL
526,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Wofür steht die Abkürzung FTA?,Fehlerbaumanalyse,Frontend Technical Approval,Future Trend Analysis,Field Traceability Approach,NIL,NIL,NIL,NIL,NIL,NIL,Fehlerbaumanalyse,NIL,NIL
527,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Was ist Ishikawa?,Logistiksystem,Geschäftmodell,Ursache-Wirkung-Diagramm,Softwareentwicklungstool,NIL,NIL,NIL,NIL,NIL,NIL,Ursache-Wirkung-Diagramm,NIL,NIL
528,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"Das Fischgrätendiagramm umfasst in der Regel folgende Kategorien, außer:",Menschen,Umwelt,Messungen,Budget,NIL,NIL,NIL,NIL,NIL,NIL,Budget,NIL,NIL
529,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"Das Fischgrätendiagramm umfasst in der Regel folgende Kategorien, außer:",Wirtschaftlichkeit,Materialien,Methoden,Menschen,NIL,NIL,NIL,NIL,NIL,NIL,Wirtschaftlichkeit,NIL,NIL
530,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"Das Fischgrätendiagramm umfasst in der Regel folgende Kategorien, außer:",Messungen,Maschinenpark,Durchführbarkeit,Umwelt,NIL,NIL,NIL,NIL,NIL,NIL,Durchführbarkeit,NIL,NIL
531,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Wofür steht die Abkürzung CMMI?,Capability Maturity Model Integration,Change Management Method Idea,Compatibility Man Machine Interface,Continental Magnetic Machine Integration,NIL,NIL,NIL,NIL,NIL,NIL,Capability Maturity Model Integration,NIL,NIL
532,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Was ist CMMI?,Geschäftsstrategie,Prozessverbesserung und Programmbeurteilung,International Budgeting Standards (Internationale Normen zur Haushaltsführung),Ein Projektmanagementtool,NIL,NIL,NIL,NIL,NIL,NIL,Prozessverbesserung und Programmbeurteilung,NIL,NIL
533,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Was ist der HALT-Test (Highly Accelerated Life Test)?,Methode zur Bestimmung des Auslastungsgrads,Testen zur Beschleunigung der Produktzuverlässigkeit,Finanzanalyse,Messung der durchschnittlichen Auslastung,NIL,NIL,NIL,NIL,NIL,NIL,Testen zur Beschleunigung der Produktzuverlässigkeit,NIL,NIL
534,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Was bedeutet HALT?,Highly Applicable Label Type,Holistic Arbitrary Label Testing,Hardware Architecture Level Testimonial,Highly Accelerated Life Test,NIL,NIL,NIL,NIL,NIL,NIL,Highly Accelerated Life Test,NIL,NIL
535,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Wie viele Stadien hat der Produktlebenszyklus?,6,3,4,10,NIL,NIL,NIL,NIL,NIL,NIL,4,NIL,NIL
536,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"Der Beurteilungsprozess für den Award ‚Best Supplier‘ berücksichtigt Kriterien wie die folgenden, außer",Qualität,Sicherheit,Schnell,Menschen,NIL,NIL,NIL,NIL,NIL,NIL,Schnell,NIL,NIL
537,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Welches Ziel verfolgt die Abteilung Standortkommunikation?,Zur Herstellung der „Kommunikation mit einer Stimme“,Herstellung von „Multi-Kommunikation“,Herstellung von „Telekommunikation“,Herstellung „effektiver Kommunikation“,NIL,NIL,NIL,NIL,NIL,NIL,Zur Herstellung der „Kommunikation mit einer Stimme“,NIL,NIL
538,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Was gehört nicht zu den vier Bereichen der PDCA?,Planen,Ausführen,Kommunizieren,Optimieren,NIL,NIL,NIL,NIL,NIL,NIL,Kommunizieren,NIL,NIL
539,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"Bei der Herstellung bestellter Artikel und vor ihrem Versand sind wir berechtigt, Folgendes zu untersuchen, außer",Material,Produktionsverfahren,"Andere Betriebe, die an der Ausführung der Leistung beteiligt sind",Preis anderer Lieferanten,NIL,NIL,NIL,NIL,NIL,NIL,Preis anderer Lieferanten,NIL,NIL
540,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"Der Lieferant garantiert, dass seine Lieferung ________ ist und die Lieferung der Artikel und ihre vertragsgemäße Nutzung keine Patente oder andere Schutzrechte Dritter in Deutschland oder anderen Ländern verletzt.",Nicht Gegenstand von Rechten Dritter,Gegenstand von Rechten Dritter,Gegenstand von Rechten eines Dritten,Keines der Vorstehenden,NIL,NIL,NIL,NIL,NIL,NIL,Nicht Gegenstand von Rechten Dritter,NIL,NIL
541,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Soweit nicht anders vereinbart erfolgen unsere Zahlungen unter Abzug von ___% Skonto zum ersten Zahlungstermin von Continental,0,3,50,100,NIL,NIL,NIL,NIL,NIL,NIL,3,NIL,NIL
542,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"Soweit nicht anders vereinbart oder in diesen Geschäftsbedingungen anders vorgegeben, unterliegt eine Garantie einschließlich der Haftung für jeden Konformitätsmangel den Bestimmungen des einschlägigen Rechts. Welches der Folgenden ist ausgeschlossen?",Der Einwand verspäteter Mängelanzeige und vorbehaltloser Abnahme,Der Einwand vorbehaltloser Abnahme,Der Einwand verspäteter Mängelanzeige,Keines der Vorstehenden,NIL,NIL,NIL,NIL,NIL,NIL,Der Einwand verspäteter Mängelanzeige und vorbehaltloser Abnahme,NIL,NIL
543,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"Ausgenommen welches der folgenden können wir bei Ereignissen, die nicht zwischen einem Lieferanten und uns vereinbart wurden, diesem Lieferanten bei Gesprächen über Prüfverfahren unsere Erfahrung und Expertise zur Verfügung stellen",Typ und Umfang der Tests,Die Mess- und Testausrüstung,Die Methoden,Die Qualität,NIL,NIL,NIL,NIL,NIL,NIL,Die Qualität,NIL,NIL
544,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"Versandpapiere und Rechnungen müssen Folgendes eindeutig ausweisen, außer",Bestellnummer und/oder Abrufnummer,Die Nummer des Lieferanten,Materialnummer,Lieferinformationen,NIL,NIL,NIL,NIL,NIL,NIL,Lieferinformationen,NIL,NIL
545,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Welche Art von Statistik gehört nicht direkt zum Prozessfähigkeitsindex?,Ppk = Vorläufiger Prozessfähigkeitsindex,Cp = Prozessfähigkeit,Cpk = Prozessfähigkeitsindex,Cmk = Maschinenfähigkeitsindex,NIL,NIL,NIL,NIL,NIL,NIL,Cmk = Maschinenfähigkeitsindex,NIL,NIL
546,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Was bedeutet Fehlercode 90A?,Herabstufung RFV,Herabstufung RFV erste Harmonische,Herabstufung LFV,Herabstufung Konizität,NIL,NIL,NIL,NIL,NIL,NIL,Herabstufung RFV,NIL,NIL
